episode: 10, mean_return: 9.4900
episode: 20, mean_return: 24.6800
episode: 70, mean_return: 26.6300
episode: 120, mean_return: 28.0700
episode: 150, mean_return: 30.5300
episode: 170, mean_return: 34.3100
episode: 180, mean_return: 34.9300
episode: 190, mean_return: 37.8200
episode: 210, mean_return: 42.0900
episode: 230, mean_return: 62.1500
episode: 240, mean_return: 105.3300
episode: 310, mean_return: 333.1000
episode: 320, mean_return: 453.6400
episode: 370, mean_return: 487.5800
episode: 40, mean_return: 490.00
episode: 40, mean_return: 495.1300
episode: 60, mean_return: 495.6700
episode: 110, mean_return: 500.0000
