=== FINAL RESULTS ===
 307.75 | lr=0.005  | batch=6
 261.68 | lr=0.005  | batch=8
 192.42 | lr=0.005  | batch=10
 228.24 | lr=0.005  | batch=12
 160.08 | lr=0.005  | batch=16
 223.41 | lr=0.005  | batch=32
 343.48 | lr=0.01   | batch=6
 400.42 | lr=0.01   | batch=8
 299.53 | lr=0.01   | batch=10
 286.87 | lr=0.01   | batch=12
 244.39 | lr=0.01   | batch=16
 192.70 | lr=0.01   | batch=32
 423.94 | lr=0.03   | batch=6
 380.09 | lr=0.03   | batch=8
 442.16 | lr=0.03   | batch=10
 453.92 | lr=0.03   | batch=12
 369.83 | lr=0.03   | batch=16
 282.37 | lr=0.03   | batch=32
 360.49 | lr=0.04   | batch=6
 455.03 | lr=0.04   | batch=8
 371.43 | lr=0.04   | batch=10
 273.48 | lr=0.04   | batch=12
 394.73 | lr=0.04   | batch=16
 315.33 | lr=0.04   | batch=32
 379.05 | lr=0.05   | batch=6
 330.87 | lr=0.05   | batch=8
 424.75 | lr=0.05   | batch=10
 350.45 | lr=0.05   | batch=12
 441.88 | lr=0.05   | batch=16
 348.39 | lr=0.05   | batch=32
 500.00 | lr=0.06   | batch=6
 159.67 | lr=0.06   | batch=8
 278.86 | lr=0.06   | batch=10
 373.72 | lr=0.06   | batch=12
 368.43 | lr=0.06   | batch=16
 294.51 | lr=0.06   | batch=32
 194.83 | lr=0.08   | batch=6
 212.35 | lr=0.08   | batch=8
 376.61 | lr=0.08   | batch=10
 347.42 | lr=0.08   | batch=12
 241.09 | lr=0.08   | batch=16
 238.45 | lr=0.08   | batch=32


=== FINAL RESULTS ===
 283.15 | lr=0.005 | decay=0 | batch=6
 132.75 | lr=0.005 | decay=1 | batch=6
 212.25 | lr=0.005 | decay=0 | batch=7
 158.52 | lr=0.005 | decay=1 | batch=7
 211.05 | lr=0.005 | decay=0 | batch=8
 145.08 | lr=0.005 | decay=1 | batch=8
 197.22 | lr=0.005 | decay=0 | batch=9
 172.78 | lr=0.005 | decay=1 | batch=9
 166.56 | lr=0.005 | decay=0 | batch=10
 155.62 | lr=0.005 | decay=1 | batch=10
 182.48 | lr=0.005 | decay=0 | batch=11
 150.34 | lr=0.005 | decay=1 | batch=11
 192.73 | lr=0.005 | decay=0 | batch=12
 150.89 | lr=0.005 | decay=1 | batch=12
 182.48 | lr=0.005 | decay=0 | batch=14
 144.66 | lr=0.005 | decay=1 | batch=14
 133.75 | lr=0.005 | decay=0 | batch=16
 143.87 | lr=0.005 | decay=1 | batch=16
 160.35 | lr=0.005 | decay=0 | batch=32
 119.24 | lr=0.005 | decay=1 | batch=32
 122.04 | lr=0.005 | decay=0 | batch=64
  52.21 | lr=0.005 | decay=1 | batch=64
 319.31 | lr=0.007 | decay=0 | batch=6
 187.90 | lr=0.007 | decay=1 | batch=6
 335.82 | lr=0.007 | decay=0 | batch=7
 153.85 | lr=0.007 | decay=1 | batch=7
 235.95 | lr=0.007 | decay=0 | batch=8
 160.80 | lr=0.007 | decay=1 | batch=8
 225.51 | lr=0.007 | decay=0 | batch=9
 161.90 | lr=0.007 | decay=1 | batch=9
 245.78 | lr=0.007 | decay=0 | batch=10
 148.63 | lr=0.007 | decay=1 | batch=10
 196.60 | lr=0.007 | decay=0 | batch=11
 180.91 | lr=0.007 | decay=1 | batch=11
 177.76 | lr=0.007 | decay=0 | batch=12
